"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"ABAT",-5.83243836798577,-3.25706930670376,-7.56611517619508,-4.37167387035066,2.54144220536773,-1.66509011233039,0.0394561630209687,4.97125824325586e-14,4.01702479020009e-13,1.96208877526647e-12,6.43366798686782e-12
"ABCA1",-5.28230838193642,-5.09354481688001,-5.65189462331535,-0.372370441229728,1.48595824385369,-0.224442396218496,0.415355905608094,0.257823865608445,0.293648799648406,0.281823707995917,0.318044205786904
"ABCA10",-11.1790299218411,-10.517613790833,-12.0477080036301,-1.52116298826803,1.96235676084535,-0.733065697775793,0.205811786189387,6.54639282485689e-05,9.18252175938075e-05,7.85711443213688e-05,0.000108916901050457
"ABCA11P",-8.62666952587363,-8.08156520855594,-9.94235388389351,-2.05515411899833,1.20694056715652,-1.63277357602381,0.0125300503372699,7.41215007025969e-13,3.67555765038331e-12,4.71654313251918e-15,4.14219221142276e-14
"ABCA12",-9.95078379519037,-10.4589258124975,-9.66631457794863,0.679505692736349,2.25615498990043,0.258096581457458,0.390933334011944,0.347919018613024,1,0.140773546983416,1
"ABCA13",-12.0571298682401,-10.4230533894618,-14.9073376153243,-5.00080138787506,3.36602324410451,-1.47703483218554,0.0626666776967258,6.21343175641424e-12,2.12689653680022e-11,8.23820156388632e-11,1.91104986269867e-10
"ABCA17P",-11.835903338964,-11.7762055613518,-11.9252514171478,-0.119711166408154,1.50801243137851,-0.0769001391857957,0.469333333515748,0.849301573102786,0.897723755257023,0.674325392449626,0.732891249608386
"ABCA2",-4.80699586127404,-4.12219505238664,-5.93266553969617,-1.72145545649474,1.22334127361812,-1.29114952366055,0.0887763338399573,3.92301580790266e-10,9.25000999215012e-10,1.47264771676787e-09,2.91396364417388e-09
"ABCA3",-5.38932503223087,-5.03015187820312,-6.13475374239417,-1.06633353646768,1.07269441643594,-0.884006170886508,0.167422024327267,1.63466411733131e-05,2.39128743659243e-05,3.58624483792737e-06,5.39744449265018e-06
"ABCA4",-9.31140826746124,-7.88832742629666,-12.4906458648991,-5.04577502081864,2.9387169144418,-1.77607276597909,0.0274666928736259,8.3030837954226e-14,6.06149431206143e-13,1.36597718321441e-13,6.54628010078386e-13
"ABCA5",-6.2037425058922,-5.37301167231645,-7.35722936993075,-1.8968858885206,1.20335521447211,-1.49622263654788,0.0442548813237253,3.34449429180784e-11,1.00376969385648e-10,1.76130730979469e-12,5.84099697424073e-12
