"","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
"TPPP",-2.23694321433432,-2.23694321433432,0.263056785665682,1,1,0.759136750905124,1,1,1
"TPPP2",-6.66756319625381,-6.66756319625381,-4.16756319625381,3.74217774684463e-08,3.39221814656298e-10,1.87112960009223e-08,1.87752726144745e-06,3.54574626056739e-08,9.38780460758405e-07
"TPPP3",-0.534001833271394,-0.534001833271394,1.96599816672861,1,1,0.935318977887596,1,1,1
"TPR",-1.59982258902622,-1.59982258902622,0.900177410973783,1,1,0.999976212690791,1,1,1
"TPRA1",-1.68590577555873,-1.68590577555873,0.814094224441274,1,1,0.999999961837176,1,1,1
"TPRG1",-0.101267160392439,-0.101267160392439,2.39873283960756,0.985668256337546,0.963625555102674,0.615086055463172,1,1,1
"TPRG1L",-2.17066709443704,-2.17066709443704,0.329332905562962,1,1,0.956895794457415,1,1,1
"TPRKB",-1.17691076086903,-1.17691076086903,1.32308923913097,1,1,0.999999999290389,1,1,1
"TPRN",-2.23182295996844,-2.23182295996844,0.268177040031556,1,1,0.849436116854307,1,1,1
"TPRXL",-2.56799851303968,-2.56799851303968,-0.0679985130396794,0.793472980116333,0.971952626359074,0.457685652761159,1,1,0.998126887651525
"TPSAB1",0.892597966641407,0.892597966641407,3.39259796664141,0.104921352339918,0.176537120224213,0.0524607014968828,1,1,1
"TPSB2",1.15496120665543,1.15496120665543,3.65496120665543,0.0625339531091351,0.155678596074419,0.0312670511694859,1,1,0.948578713545436
"TPSD1",0.957820921135174,0.957820921135174,3.45782092113517,0.23125514298904,0.336537773785166,0.115651001210214,1,1,0.999684826889838
"TPSG1",-1.03024689049397,-1.03024689049397,1.46975310950603,1,1,0.975395316724491,1,1,1
"TPST1",-2.27840203046531,-2.27840203046531,0.22159796953469,1,1,0.82909698178707,1,1,1
"TPST2",-2.40071379843579,-2.40071379843579,0.09928620156421,1,1,0.709079615987304,1,1,1
"TPT1",-0.778686641666144,-0.778686641666144,1.72131335833386,1,1,0.999991234540113,1,1,1
"TPT1-AS1",-1.04463695096415,-1.04463695096415,1.45536304903585,1,1,0.999999811449583,1,1,1
"TPTE2",-0.835463046390974,-0.835463046390974,1.66453695360903,0.999566646544055,1,0.870654450254377,1,1,1
"TPTE2P1",-1.90255738475476,-1.90255738475476,0.597442615245242,1,1,0.988221337674256,1,1,1
"TPTE2P3",-3.18852524150167,-3.18852524150167,-0.688525241501673,0.135280501157177,0.122243145468228,0.0676402519158688,0.897621046165567,0.85941694733053,0.635493031332603
"TPTE2P6",-1.82111956875129,-1.82111956875129,0.678880431248711,0.998893703540744,1,0.895406594193348,1,1,1
"TPTEP1",-4.7072630797737,-4.7072630797737,-2.2072630797737,7.02548732783099e-08,1.83289217079077e-07,3.51274366394849e-08,4.14457728203453e-06,9.278038591913e-06,2.07229096553697e-06
"TPX2",0.838892259493155,0.838892259493155,3.33889225949316,0.0132607915582348,0.000507754582233276,0.00663039577912531,0.601263884505425,0.0450112271632465,0.300632554504277
"TRA2A",-1.36680553941904,-1.36680553941904,1.13319446058096,1,1,0.999999977635611,1,1,1
"TRA2B",-1.70681731195009,-1.70681731195009,0.793182688049909,1,1,0.999984633167504,1,1,1
"TRABD",-1.05564712039361,-1.05564712039361,1.44435287960639,1,1,0.999999997755026,1,1,1
"TRADD",-0.222878807754788,-0.222878807754788,2.27712119224521,1,1,0.920362559045522,1,1,1
"TRAF1",-0.866200380386446,-0.866200380386446,1.63379961961355,1,1,0.998292549374147,1,1,1
"TRAF2",-0.722207916963161,-0.722207916963161,1.77779208303684,1,1,0.999897315400867,1,1,1
"TRAF3",-1.39312650009246,-1.39312650009246,1.10687349990754,1,1,0.999997880082402,1,1,1
