"","j","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
" g__Catonella",-0.48,0.574402911477944,-1.79329209633904,-0.334457594652346,0.648434201554762,0.719141050733663,0.363040210649295,0.978409217253484,0.996343223197714,0.721356919716552
" g__Selenomonas",-0.48,3.65644590477219,1.28875089695521,2.7475853986419,0.120557639049075,0.260559558740554,0.0615051310343965,0.999854605816272,1,0.983875305807064
" g__Dialister",-0.48,0.83486122903566,-1.53283377878132,-0.0739992770946303,0.849506355480939,0.990862098778501,0.599344511272387,0.997857196146672,1,0.889052094274404
" g__Moryella",-0.48,1.46606485773836,-0.901630150078615,0.557204351608074,0.985152789059013,1,0.805854903760358,0.999999021212467,1,0.974706005943872
" g__Parvimonas",-0.48,-0.189409643607267,-2.55710465142425,-1.09827014973756,0.430091510835655,0.53895059466505,0.25727914836406,0.895262481089071,0.978419745560427,0.598822628067109
" g__Tannerella",-0.48,1.24170940736513,-1.12598560045185,0.33284890123484,0.947678436393995,0.9451612366459,0.711426415269306,0.999766592303038,0.999557948278571,0.937406981122514
" g__Mogibacterium",-0.48,-0.0528260124234121,-2.42052102024039,-0.961686518553702,0.460433894156823,0.424626171750504,0.276047764282301,0.896181254737347,0.904159752980799,0.609547010015232
" g__Bulleidia",-0.48,0.542754564293571,-1.82494044352341,-0.366105941836719,0.687639972499634,0.86126279402993,0.416147452194487,0.984372946381703,0.999688154479643,0.760338142399347
" g__Atopobium",-0.48,1.56045648550278,-0.807238522314202,0.651595979372488,0.993254366551541,1,0.825255465758483,1,1,0.982688452221859
" g__Peptostreptococcus",-0.48,1.48801242672764,-0.879682581089337,0.579151920597353,0.985470439051873,0.999955558077681,0.807829182839218,1,1,0.976253663307333
" g__Corynebacterium",-0.48,0.572417792816018,-1.79527721500096,-0.336442713314272,0.64844372546413,0.662963052712467,0.335952743874877,0.997214742007937,0.998979259748482,0.722823546444841
" g__Mycoplasma",-0.48,1.22142521470208,-1.1462697931149,0.312564708571789,0.889264660974108,0.89916996274658,0.693211014605217,0.99471662896303,0.997674122455694,0.914693692210279
" g__Treponema",-0.48,1.71591859770291,-0.651776410114072,0.807058091572618,0.975060429821557,0.990854545070086,0.812278880549687,0.999790168451871,1,0.98004745676682
" g__Cardiobacterium",-0.48,2.47297778989015,0.105282782073169,1.56411728375986,0.840158573616408,0.999881533020899,0.573851003073529,1,1,0.988809274229451
" g__Shuttleworthia",-0.48,0.61411713836983,-1.75357786944715,-0.294743367760461,0.748505541672842,0.778099096352153,0.531269861539955,0.978329174419668,0.991872818818526,0.823496661177445
" g__Schwartzia",-0.48,3.83362190279014,1.46592689497316,2.92476139665985,0.30371482249899,0.25123903140144,0.179806147923057,0.973338499555707,0.979111912797554,0.936222883728092
" g__TG5",-0.48,1.70676111554686,-0.66093389227012,0.797900609416569,0.946247830503412,0.964657353110455,0.781505961406678,0.999438768765989,1,0.959980608827922
" g__Lachnoanaerobaculum",-0.48,1.39300550126385,-0.974689506553132,0.484144995133557,0.96586878935478,0.999213706299751,0.764428021387061,0.9999323108324,1,0.96025386858783
"other",-0.48,0.0810427682923642,-2.28665223952462,-0.827817737837926,0.0184712611521848,0.0204145443074594,0.00923569115467347,0.140941144349409,0.138470773357937,0.0706465530752556
" g__Streptococcus",-0.47,-0.700426764182867,-3.05812177199985,-1.59928727031316,3.11373132749013e-05,8.27395017827815e-05,1.55687613562738e-05,0.000591608952223125,0.00157205053387285,0.000295806465769202
" g__Haemophilus",-0.47,-0.58353584729154,-2.94123085510852,-1.48239635342183,2.60553043490187e-07,4.28535025073768e-07,1.30276552258678e-07,9.90101565262709e-06,1.62843309528032e-05,4.95050898582976e-06
" g__Neisseria",-0.47,-0.572944025134905,-2.93063903295188,-1.4718045312652,0.29874467699225,0.119691498093957,0.173200187395377,0.900941566576038,0.499490314853038,0.528757012126131
" g__Veillonella",-0.47,0.522584168506238,-1.83511083931074,-0.376276337624053,0.313487774320643,0.314395901123974,0.156755703044748,0.964077590682077,0.962135396432907,0.522853836881041
" g__Porphyromonas",-0.47,-0.00148004378049738,-2.35917505159748,-0.900340549910787,0.0858869521756646,0.0902684632449912,0.0429746404168831,0.462160046558688,0.432198702028339,0.234429276047901
" g__Prevotella",-0.47,0.427032807444307,-1.93066220037267,-0.471827698685984,0.467095401344726,0.542318347753784,0.236144962882311,0.998759465342026,1,0.616768667333343
" g__Fusobacterium",-0.47,0.970575300930683,-1.3871197068863,0.0717147948003931,0.999554338624271,1,0.588367837984195,1,1,0.929579060199168
" g__Aggregatibacter",-0.47,0.149085621021476,-2.2086093867955,-0.749774885108814,0.632842284744636,0.540551339404035,0.408603798577422,0.99446527821197,0.999273342755169,0.77743440076595
" g__Abiotrophia",-0.47,-0.561785004258589,-2.91948001207557,-1.46064551038888,0.254815598101363,0.125411399067602,0.145052546917822,0.747059800504831,0.514976951178352,0.443843062162409
" g__Actinobacillus",-0.47,-2.00825514438788,-4.36595015220486,-2.90711565051817,0.0767089138600455,0.0140461297331626,0.0442763809891075,0.389770974173952,0.116212345723467,0.216808941359694
" g__Rothia",-0.47,-0.142965407706883,-2.50066041552386,-1.04182591383717,0.0138539027337794,0.0198096967295839,0.00692728703831714,0.124177008421757,0.139507458001971,0.0621677372049773
" g__[Prevotella]",-0.47,-0.984179609683353,-3.34187461750033,-1.88304011581364,0.00164541335587592,0.00333562271762018,0.000823177545092116,0.0208314493414872,0.0419293124869149,0.0104216248680271
" g__Capnocytophaga",-0.47,0.927327471316968,-1.43036753650001,0.028466965186678,0.968580040444887,0.97925555037322,0.526758941492562,1,1,0.896997646625223
" g__Leptotrichia",-0.47,1.38291152693941,-0.974783480877565,0.484051020809124,1,1,0.924117431280216,1,1,0.999664157632612
" g__Campylobacter",-0.47,1.58530160889084,-0.772393398926137,0.686441102760553,1,1,0.972316712612968,1,1,0.999897078993262
" g__Lautropia",-0.47,-0.566468864047325,-2.9241638718643,-1.46532937017761,0.139309044972831,0.122222837570861,0.0724585215783194,0.619991482268562,0.506082369367848,0.32504877209259
" g__Actinomyces",-0.47,0.653850003810019,-1.70384500400696,-0.245010502320271,0.465929569718619,0.543824067110225,0.232971411512836,0.985287406191301,0.994664229224063,0.607428906102392
" g__Oribacterium",-0.47,0.976473826356184,-1.3812211814608,0.0776133202258942,0.982057396926206,1,0.566743452202546,1,1,0.917564127698813
" g__Kingella",-0.47,1.07199362479845,-1.28570138301853,0.17313311866816,0.901756012100518,0.881818467170423,0.684150327881441,0.999003057924697,1,0.92479328446577
" g__Catonella",-0.47,0.577026983794876,-1.7806680240221,-0.321833522335414,0.664937286973193,0.72199238218036,0.371730645666188,0.983400421585219,0.997557220093179,0.736427867275056
" g__Selenomonas",-0.47,3.64506689811548,1.2873718902985,2.74620639198519,0.117596566524905,0.248437808659837,0.059984246969896,1,1,0.97985331224692
" g__Dialister",-0.47,0.838245408860009,-1.51944959895697,-0.0606150972702815,0.849469386906043,0.990251104598505,0.60035652344626,0.999072926888143,1,0.888560376247444
" g__Moryella",-0.47,1.47956089033825,-0.878134117478733,0.580700384207957,0.98938305802701,1,0.807109469922233,1,1,0.978009232037026
" g__Parvimonas",-0.47,-0.191302420428341,-2.54899742824532,-1.09016292655863,0.435798931611206,0.553095675049389,0.26061878445866,0.900482001864086,0.981291810211926,0.605291071667595
" g__Tannerella",-0.47,1.23252318553705,-1.12517182227993,0.333662679406756,0.942851974464614,0.947439230120284,0.706813162866239,0.999793228659764,0.999754049604725,0.93614238408348
" g__Mogibacterium",-0.47,-0.0186432585659349,-2.37633826638291,-0.917503764696225,0.472165606186321,0.448839275345516,0.282730256786799,0.905382076534388,0.916676029182231,0.623619831528895
" g__Bulleidia",-0.47,0.576051426168841,-1.78164358164814,-0.322809079961449,0.701370949176355,0.857181250983749,0.432276233255956,0.984036598801052,0.999066115019961,0.771604206332187
" g__Atopobium",-0.47,1.53503890020135,-0.822656107615625,0.636178394071064,0.993237384221979,1,0.825187040429618,1,1,0.982865072162539
" g__Peptostreptococcus",-0.47,1.4867327855241,-0.870962222292877,0.587872279393812,0.988095213714512,1,0.808724570941549,0.999991626212079,1,0.97817969501279
" g__Corynebacterium",-0.47,0.561738795990298,-1.79595621182668,-0.337121710139992,0.641334636196531,0.669540079499183,0.332496554151563,0.99800433367651,0.999669662457419,0.720933291036108
" g__Mycoplasma",-0.47,1.17234526780358,-1.1853497400134,0.273484761673294,0.861519891944207,0.878132755114503,0.665378898679817,0.988749823197915,0.993646340192495,0.892955968880279
" g__Treponema",-0.47,1.68542484604709,-0.672270161769894,0.786564339916796,0.969920117307842,0.989092313256135,0.802795842468584,1,1,0.980316543220854
" g__Cardiobacterium",-0.47,2.49504969936849,0.137354691551508,1.5961891932382,0.837254091542481,0.999527242154747,0.564170244654735,1,1,0.988615931558884
" g__Shuttleworthia",-0.47,0.647795364313648,-1.70989964350333,-0.251065141816642,0.753829483672044,0.782817424248361,0.535413666838973,0.981741505041034,0.991560712181892,0.829816052088296
" g__Schwartzia",-0.47,3.83288805889102,1.47519305107404,2.93402755276073,0.290481700829832,0.233591865680396,0.170598775418578,0.974437956950978,0.978067741524557,0.931806373664329
" g__TG5",-0.47,1.65156952550538,-0.706125482311598,0.752709019375092,0.9454435086395,0.965115139770239,0.791861724680449,0.997789184685525,0.999657613568298,0.956776370429148
" g__Lachnoanaerobaculum",-0.47,1.39788523597958,-0.959809771837403,0.499024729849287,0.964830373081621,0.998647907365602,0.767593710033631,0.999983317259254,1,0.961235522627358
"other",-0.47,0.0823487468475064,-2.27534626096947,-0.816511759282784,0.0199512199568943,0.0219438044718112,0.00997567643749183,0.151778990505931,0.146932940387732,0.0761004678503529
" g__Streptococcus",-0.46,-0.700119474775847,-3.04781448259283,-1.58897998090614,3.35844165286112e-05,8.65372932895049e-05,1.67923193007075e-05,0.000638103914043613,0.00164420857250059,0.000319054066713443
" g__Haemophilus",-0.46,-0.584527092751349,-2.93222210056833,-1.47338759888164,2.86925888416448e-07,4.79553159270426e-07,1.43462976432245e-07,1.0903183759825e-05,1.82230200522762e-05,5.45159310442529e-06
" g__Neisseria",-0.46,-0.557197391041848,-2.90489239885883,-1.44605789717214,0.304489360478889,0.1226740132547,0.176917710185052,0.908293382319297,0.508425804242187,0.539950317722645
" g__Veillonella",-0.46,0.523380981084256,-1.82431402673272,-0.365479525046034,0.327500134839431,0.333395415395268,0.163762852028842,0.978092742527414,0.979523421510618,0.541356534424592
" g__Porphyromonas",-0.46,0.0010285344552714,-2.34666647336171,-0.887831971675019,0.0897337588523338,0.0930402366445527,0.0448999322007448,0.478088620024214,0.44396091888189,0.24226681820586
" g__Prevotella",-0.46,0.42777841342691,-1.91991659439007,-0.46108209270338,0.477473742955016,0.557101108572183,0.241464344478939,0.999324950709338,1,0.630505846699789
" g__Fusobacterium",-0.46,0.972688967323688,-1.37500604049329,0.0838284611933984,0.999858328166163,1,0.600989339805704,1,1,0.939720674697918
